	log_prob	log_odds_adjustment	true_positive	true_negative	false_positive	false_negative	total	precision	recall	npv	ppv	optimistic_log_prob
_JSON_Discriminative	-0.066980100123256	-0.009217386876868001	2489.0	2383.0	71.0	57.0	5000.0	0.972265625	0.9776119402985071	0.976639344262295	0.972265625	
_JSON_GPT	-0.34733920563903503	-18.98689296706957	2388.0	2288.0	166.0	158.0	5000.0	0.9350039154267811	0.9379418695993711	0.9354047424366311	0.9350039154267811	
_JSON_GPT_Positive	-1.841863892911798	-1.888121394975267	2184.0	2073.0	381.0	362.0	5000.0	0.851461988304093	0.8578161822466611	0.8513347022587261	0.851461988304093	
_JSON_PseudoGPT_Prefix	-0.14930285932282902	0.170373973814299	2428.0	2315.0	139.0	118.0	5000.0	0.9458511881573821	0.9536527886881381	0.9515002055076031	0.9458511881573821	
_JSON_PseudoGPT_Suffix	-0.081552902730174	-0.052231826359898	2475.0	2363.0	91.0	71.0	5000.0	0.964536243180046	0.9721131186174391	0.9708299096138041	0.964536243180046	
_SmolLM2-135M	-3.799516891836735	-75.28501339777286	1974.0	1886.0	568.0	572.0	5000.0	0.776553894571203	0.7753338570306361	0.767290480065093	0.776553894571203	
_output	-0.431019378022921	0.40753229176771805	2370.0	1830.0	624.0	176.0	5000.0	0.791583166332665	0.9308719560094261	0.912263210368893	0.791583166332665	
