	accuracy	accuracy_given_name_overlap	accuracy_given_label	accuracy_given_predicted_label_JSON_Discriminative	accuracy_given_predicted_label_JSON_GPT	accuracy_given_predicted_label_JSON_GPT_Positive	accuracy_given_predicted_label_JSON_PseudoGPT_Prefix	accuracy_given_predicted_label_JSON_PseudoGPT_Suffix	accuracy_given_predicted_label_SmolLM2-135M	accuracy_given_predicted_label_output
_JSON_Discriminative	0.9744	0.9778658738024447	0.9776119402985075	0.972265625	0.976115896632733	0.9727095516569201	0.9715621347876899	0.9734996102883866	0.983477576711251	0.9779559118236473
_JSON_GPT	0.9352	0.9405351833498513	0.9379418695993715	0.93671875	0.9350039154267815	0.9270955165692008	0.9287105570705103	0.9318004676539361	0.9488591660110149	0.9405477621910487
_JSON_GPT_Positive	0.8514	0.85596299966964	0.8578161822466615	0.853515625	0.8469068128425998	0.8514619883040936	0.8484612388001558	0.853078721745908	0.8528717545239969	0.8570474281897128
_JSON_PseudoGPT_Prefix	0.9486	0.9530888668648827	0.9536527886881383	0.94765625	0.9440093970242757	0.9434697855750487	0.9458511881573821	0.946219797349961	0.963021243115657	0.9539078156312625
_JSON_PseudoGPT_Suffix	0.9676	0.9679550710274198	0.9721131186174391	0.96796875	0.9655442443226312	0.9664717348927875	0.9645500584339696	0.9645362431800467	0.97639653815893	0.9682698730794923
_SmolLM2-135M	0.772	0.7730426164519326	0.7753338570306363	0.782421875	0.7870007830853563	0.7723196881091617	0.7865212310089599	0.7813717848791893	0.7765538945712038	0.7738810955243821
_output	0.84	0.7882391807069706	0.9308719560094265	0.927734375	0.9232576350822239	0.9056530214424952	0.9236462797039345	0.9220576773187841	0.8894571203776553	0.7915831663326653
